Recording,TP,FN,FP,Se,P+
100.tfrecord,2272,1,0,0.9996,1
103.tfrecord,2082,2,0,0.9990,1
105.tfrecord,2528,44,17,0.9829,0.9933
111.tfrecord,2121,3,3,0.9986,0.9986
113.tfrecord,1794,1,0,0.9994,1
117.tfrecord,1534,1,0,0.9993,1
121.tfrecord,1861,2,0,0.9989,1
123.tfrecord,1518,0,0,1.0000,1
200.tfrecord,2593,8,0,0.9969,1
202.tfrecord,2129,7,1,0.9967,0.9995
210.tfrecord,2614,36,1,0.9864,0.9996
212.tfrecord,2747,1,0,0.9996,1
213.tfrecord,3249,2,0,0.9994,1
214.tfrecord,2255,7,0,0.9969,1
219.tfrecord,2154,0,0,1.0000,1
221.tfrecord,2423,4,0,0.9984,1
222.tfrecord,1941,542,0,0.7817,1
228.tfrecord,2040,13,8,0.9937,0.9961
231.tfrecord,1571,0,0,1.0000,1
232.tfrecord,1780,0,3,1.0000,0.9983
233.tfrecord,3076,3,0,0.9990,1
234.tfrecord,2753,0,0,1.0000,1
total,49035,677,33,0.9876,0.9993
